Pregunta,RespuestaA,RespuestaB,RespuestaC,RespuestaD,RespuestaCorrecta,Pista,Dificultad
¿Cuál es el animal más grande del mundo?,Elefante,Ballena Azul,Jirafa,Oso Polar,Ballena Azul,Vive en el océano y es gigantesco.,Facil
¿Quién pintó la Mona Lisa?,Van Gogh,Picasso,Leonardo da Vinci,Monet,Leonardo da Vinci,Famoso inventor y artista renacentista.,Facil
¿Cuál es la primera película animada de Disney?,La Cenicienta,Blancanieves y los Siete Enanitos,Pinocho,Dumbo,Blancanieves y los Siete Enanitos,Fue un gran hito en la animación y presenta a una princesa que huye de una madrastra.,Facil
¿Quién es conocido como el Rey del Pop?,Elvis Presley,Prince,Michael Jackson,Madonna,Michael Jackson,Famoso por su 'Moonwalk' y canciones como 'Thriller'.,Facil
¿Qué animal tiene el corazón más grande en proporción a su cuerpo?,Ratón,Colibrí,Ballena azul,Camaleón,Colibrí,Este pequeño ave necesita mucha energía para volar en el mismo lugar.,Facil
¿Qué país ganó la Copa Mundial de Fútbol en 2022?,Brasil,Francia,Argentina,Alemania,Argentina,Su capitán es Lionel Messi.,Facil
¿Cuántos colores tiene el arcoíris?,5,6,7,8,7,Recuerda la canción de los colores.,Facil
¿Qué país tiene más castillos por kilómetro cuadrado que cualquier otro?,Austria,Escocia,Gales,Alemania,Gales,Tiene más de 600 castillos en un área pequeña.,Facil
¿Cuál fue el primer satélite artificial lanzado al espacio?,Sputnik 1,Apollo 11,Explorer 1,Vostok 1,Sputnik 1,Fue lanzado por la Unión Soviética en 1957.,Facil
¿Cuál es el animal que pone los huevos más grandes?,Gallina,Avestruz,Pato,Emú,Avestruz,Es el ave más grande.,Facil
¿Qué animal tiene una lengua más larga que su cuerpo?,Serpiente,Rana,Camaleón,Hormiga,Camaleón,La usa para atrapar insectos.,Facil
¿Qué animal es símbolo de sabiduría?,León,Zorro,Búho,Cisne,Búho,Se asocia con la inteligencia en cuentos y mitología.,Facil
¿En qué país se originaron los Juegos Olímpicos?,Italia,Egipto,Grecia,Rusia,Grecia,Fueron creados en la antigüedad.,Facil
¿Qué color se forma al mezclar rojo y azul?,Verde,Amarillo,Naranja,Violeta,Violeta,Es un color secundario.,Facil
¿Qué animal representa a Gryffindor en Harry Potter?,Águila,León,Serpiente,Tejón,León,Es símbolo de valentía.,Facil
¿Cuántos segundos hay en un minuto y medio?,60,90,120,150,90,Un minuto y medio son 60+30,Facil
¿Qué inventó Thomas Edison?,Teléfono,Bombilla,Rayo láser,Motor,Bombilla,No inventó el teléfono,Facil
¿Cuál es el nombre del martillo de Thor?,Stormbreaker,Mjölnir,Gungnir,Excalibur,Mjölnir,Sólo él puede levantarlo.,Facil
¿Quién fue el primer presidente de Estados Unidos?,Lincoln,Jefferson,Washington,Roosevelt,Washington,Su cara aparece en el billete de 1 dólar.,Facil
¿Qué empresa desarrolló el videojuego Minecraft?,Nintendo,Sony,Mojang,Ubisoft,Mojang,Es un juego de construcción en bloques.,Facil
¿Quién pintó La noche estrellada?,Monet,Van Gogh,Picasso,Leonardo da Vinci,Van Gogh,El pintor era holandés y tenía una oreja cortada.,Facil
¿Cuál es el idioma más hablado del mundo?,Español,Inglés,Chino mandarín,Árabe,Chino mandarín,Lo hablan más de mil millones de personas.,Facil
¿Qué superhéroe viene de Krypton?,Batman,Flash,Superman,Iron Man,Superman,Su debilidad es la kryptonita,Facil
¿En qué ciudad nació el tango?,Madrid,París,Buenos Aires,Roma,Buenos Aires,Es la capital de Argentina.,Facil
¿Qué dios griego es conocido como el dios del vino?,Apolo,Hades,Dionisio,Zeus,Dionisio,Famoso por sus fiestas y bacanales.,Facil
¿Qué lengua se hablaba en el Imperio Romano?,Griego,Latín,Hebreo,Romance,Latín,Es la base de las lenguas romances,Facil
¿Qué animal mitológico tenía cabeza de toro y cuerpo humano?,Centauro,Grifo,Minotauro,Sátiro,Minotauro,Vivía en un laberinto,Facil
¿Cuántos jugadores tiene un equipo de baloncesto en la cancha?,5,6,7,4,5,Incluye al base y al alero,Facil
¿Qué país es conocido como "la tierra del sol naciente"?,China,Corea del Sur,Japón,Tailandia,Japón,Su bandera representa un sol rojo,Facil
¿Cuál es la principal función del sistema nervioso?,Coordinar las acciones,Producir hormonas,Filtrar sangre,Regular la digestión,Coordinar las acciones,Incluye el cerebro,Facil
¿Cuál es la función principal de los glóbulos rojos?,Transportar oxígeno,Proteger el cuerpo,Producir hormonas,Regular temperatura,Transportar oxígeno,Contienen hemoglobina,Facil
¿Cuál es el animal sagrado en la India?,Perro,Gato,Vaca,Águila,Vaca,Se le respeta y no se sacrifica,Facil
¿Qué significa la palabra "anime" en japonés?,Historieta,Animación,Película de acción,Dibujo estático,Animación,Es una forma popular de entretenimiento visual,Facil
¿Qué parte de la planta realiza la fotosíntesis?,Raíz,Tallo,Hoja,Flor,Hoja,Es verde normalmente,Facil
¿En qué anime aparece una libreta que mata personas?,Naruto,Attack on Titan,Death Note,Bleach,Death Note,Su dueño es Light Yagami,Facil
¿Quién fue el autor de La Odisea?,Platón,Homero,Virgilio,Aristóteles,Homero,Narra el viaje de Ulises,Facil
¿Cuál es el nombre del dragón en "El Hobbit"?,Draco,Smaug,Falkor,Saphira,Smaug,Habita en la Montaña Solitaria,Facil
¿Qué neurotransmisor está relacionado con el placer?,Cortisol,Adrenalina,Dopamina,Melatonina,Dopamina,Interviene en la motivación y recompensa,Facil
¿Quién pintó el techo de la Capilla Sixtina?,Da Vinci,Caravaggio,Rafael,Michelangelo,Michelangelo,Fue un encargo del Papa,Facil
¿Qué animal aparece en el logo de Ferrari?,Caballo,Tigre,León,Toro,Caballo,Está encabritado,Facil
¿En qué país se encuentra el monte Fuji?,Corea del Sur,China,Japón,Taiwán,Japón,Es un símbolo sagrado,Facil
¿En qué país se encuentra la región de Transilvania?,Hungría,Ucrania,Rumania,Polonia,Rumania,Es conocida por Drácula,Facil
¿Qué animal es considerado el más venenoso del mundo?,Cobra real,Medusa avispa de mar,Rana dardo dorada,Tarántula,Rana dardo dorada,Cabe en la palma de tu mano,Facil
¿Qué personaje histórico fue conocido como "El Libertador"?,Simón Bolívar,José de San Martín,Bernardo O'Higgins,Emiliano Zapata,Simón Bolívar,Lideró la independencia de varios países sudamericanos,Facil
¿Qué tipo de animal es Nemo?,Tiburón,Pez payaso,Pulpo,Caballito de mar,Pez payaso,Es el protagonista de una película animada,Facil
¿En qué año termina una década?,En el 8,En el 9,En el 0,En el 5,En el 0,Ejemplo: 2020,Facil
¿Qué animal es el símbolo nacional de Australia?,Canguro,Koala,Emú,Ornitorrinco,Canguro,Es también un icono deportivo,Facil
¿Qué parte del cuerpo produce insulina?,Riñones,Estómago,Páncreas,Hígado,Páncreas,Es clave para controlar la glucosa,Facil
¿Cuál es el país más pequeño del mundo?,Mónaco,Nauru,San Marino,Vaticano,Vaticano,Es el centro del catolicismo,Facil
¿Qué país es famoso por los tulipanes y molinos de viento?,Alemania,Holanda,Bélgica,Suiza,Holanda,Gran parte está bajo el nivel del mar,Facil
¿Qué especie de pez puede generar electricidad?,Anguila,Pez payaso,Piraña,Pez espada,Anguila,Se encuentra en ríos de Sudamérica,Media


¿Qué criatura mitológica era mitad león y mitad águila?,Grifo,Minotauro,Quimera,Hidra,Grifo,Protegía tesoros en antiguas leyendas.,Media
¿Cuál es el océano más grande del mundo?,Atlántico,Índico,Ártico,Pacífico,Pacífico,Ocupa la mayor parte del planeta.,Media
¿En qué año llegó el hombre a la Luna?,1959,1969,1979,1989,1969,Fue en la década de los 60.,Media
¿Cuál es el elemento químico con el símbolo O?,Oro,Oxígeno,Osmio,Orogn,Oxígeno,Es esencial para la vida.,Media
¿Cuántos huesos tiene el cuerpo humano adulto?,106,206,306,406,206,Es un número que termina en 6.,Media
¿Cuál es la canción más reproducida en Spotify?,Shape of You - Ed Sheeran,Blinding Lights - The Weeknd,Dance Monkey - Tones and I,Rockstar - Post Malone,Blinding Lights - The Weeknd,Su videoclip tiene una estética ochentera y se volvió viral.,Media
¿Cuál es el animal terrestre más rápido?,León,Guepardo,Antílope,Tigre,Guepardo,Tiene manchas y es un gran cazador.,Media
¿Qué famoso científico formuló la Teoría de la Relatividad?,Isaac Newton,Albert Einstein,Stephen Hawking,Marie Curie,Albert Einstein,Famoso por su cabello peculiar.,Media
¿Qué país europeo tiene como moneda el leu?,Bulgaria,Rumania,Croacia,Eslovenia,Rumania,Su plural es lei.,Media
¿En qué país nació el videojuego Tetris?,Estados Unidos,Rusia,Japón,Corea del Sur,Rusia,Fue desarrollado durante la era soviética,Media
¿Quién dirigió la película "Inception"?,David Fincher,Christopher Nolan,James Cameron,Danny Boyle,Christopher Nolan,Es conocida por sus sueños dentro de sueños,Media
¿Qué isla es famosa por sus estatuas gigantes llamadas moáis?,Bali,Sri Lanka,Isla de Pascua,Córcega,Isla de Pascua,Se encuentra en Chile,Media
¿En qué continente se encuentra la Cordillera de los Andes?,África,Asia,Europa,América del Sur,América del Sur,Es una cadena montañosa muy larga.,Media
¿Cuántos dientes tiene un adulto promedio?,28,30,32,34,32,Es un número par que termina en 2.,Media
¿Qué videojuego de estrategia involucra civilizaciones como romanos o egipcios?,StarCraft,Age of Empires,Total War,Civilization,Age of Empires,Recrea batallas históricas,Media
¿Qué sube pero nunca baja?,Edad,Temperatura,Tensión,Tiempo,Edad,Nunca rejuveneces,Media
¿Qué isla caribeña tiene una capital llamada Kingston?,Jamaica,Barbados,Cuba,Trinidad y Tobago,Jamaica,Es famosa por el reggae,Media
¿En qué videojuego se encuentra la región de Hyrule?,Dark Souls,Elden Ring,The Legend of Zelda,Genshin Impact,The Legend of Zelda,Es hogar de la Princesa Zelda.,Media
¿Qué tipo de energía utiliza una célula fotovoltaica?,Térmica,Química,Nuclear,Solar,Solar,Es la base de los paneles solares.,Media
¿Qué pintura de Goya muestra figuras humanas luchando hasta hundirse?,Saturno devorando a su hijo,El 3 de mayo,Duelo a garrotazos,La maja vestida,Duelo a garrotazos,Perteneciente a sus pinturas negras.,Media
¿En qué año se fundó Google?,1996,1998,2000,2001,1998,Lo crearon Larry Page y Sergey Brin.,Media
¿Cuál es la isla más grande del mundo?,Australia,Groenlandia,Nueva Guinea,Sumatra,Groenlandia,No es un continente.,Media
¿En qué continente se originó el jazz?,Europa,África,América,Asia,América,Combina raíces africanas y europeas,Media
¿Qué ciudad es conocida como "La Gran Manzana"?,Los Ángeles,Chicago,Miami,Nueva York,Nueva York,Es un centro global,Media
¿Cuál es la ciudad más poblada del mundo?,Delhi,Tokio,Shanghái,Nueva York,Tokio,Tiene más de 37 millones de habitantes,Media
¿Quién escribió "La divina comedia"?,Dante,Homero,Boccaccio,Cervantes,Dante,Describe un viaje al infierno,Media
¿En qué continente se originó la especie humana?,Asia,África,Europa,Oceanía,África,Es la cuna de la humanidad,Media
¿Qué película fue la primera en ganar 11 premios Óscar?,Lo que el viento se llevó,Titanic,Ben-Hur,El Señor de los Anillos: El retorno del Rey,Ben-Hur,Lo logró en 1959.,Media
¿Cuál es el nombre científico del ADN?,Ácido desoxirribonucleico,Ácido ribonucleico,Proteína nucleica,Dinucleótido fosfato,Ácido desoxirribonucleico,Contiene la información genética.,Media
¿Quién descubrió la penicilina?,Alexander Fleming,Louis Pasteur,Marie Curie,Joseph Lister,Alexander Fleming,Revolucionó la medicina.,Media
¿Qué país fue conocido como Persia?,Irán,Irak,Siria,Turquía,Irán,Nombre antiguo del actual país.,Media
¿Cuál es la distancia aproximada de la Tierra a la Luna?,384.400 km,150.000 km,1.000.000 km,40.000 km,384.400 km,Equivale a unas 30 veces la circunferencia terrestre,Media
¿Qué escritor creó al personaje Sherlock Holmes?,Arthur Conan Doyle,Agatha Christie,Edgar Allan Poe,Stephen King,Arthur Conan Doyle,Famoso detective,Media
¿Cuál es la moneda oficial de Japón?,Yen,Dólar,Euro,Rupia,Yen,Moneda asiática,Media
¿Cuántos elementos tiene la tabla periódica?,118,112,120,115,118,Última versión conocida,Media
¿Cuál es el río más largo de Europa?,Danubio,Volga,Rin,Loira,Volga,Está en Rusia,Media
¿Cuál es la capital de Islandia?,Reikiavik,Oslo,Estocolmo,Helsinki,Reikiavik,País volcánico,Media
¿Qué elemento es necesario para que los huesos se mantengan fuertes?,Hierro,Zinc,Calcio,Sodio,Calcio,Se encuentra en la leche,Media
¿En qué planeta de Star Wars vive Luke Skywalker?,Endor,Tatooine,Hoth,Naboo,Tatooine,Es desértico,Media
¿En qué país se encuentra el monte Kilimanjaro?,Kenia,Nepal,Tanzania,Etiopía,Tanzania,Es el techo de África,Media
¿En qué parte del cuerpo se encuentra el húmero?,Pierna,Brazo,Espalda,Cuello,Brazo,Es un hueso largo,Media
¿Qué animal es la mascota oficial de Linux?,Pingüino,Lobo,Gato,Perro,Pingüino,Tux es su nombre,Media
¿Cuál es el nombre de la nave espacial en "Star Trek"?,Enterprise,Galactica,Serenity,Discovery,Enterprise,Crew comandado por el Capitán Kirk,Media
¿Qué escritor creó el personaje de Drácula?,Bram Stoker,Mary Shelley,Edgar Allan Poe,Stephen King,Bram Stoker,Novela gótica,Media
¿Cuántas veces puedes restar 10 de 100?,10,1,9,100,1,La próxima vez ya restas de 90,Media
¿Qué animal es conocido por dormir de pie?,Tigre,Caballo,Elefante,Oveja,Caballo,Es un animal de carga,Media
¿Qué es un "pixel" en informática?,Unidad básica de imagen,Programa de edición,Comando de software,Memoria RAM,Unidad básica de imagen,Forma parte de la pantalla,Media
¿Qué fruta es símbolo de hospitalidad en muchas culturas?,Manzana,Naranja,Uva,Piña,Piña,A menudo está en decoraciones tropicales,Media
¿Qué civilización mitológica aparece en God of War (2018)?,Griega,Egipcia,Nórdica,Celta,Nórdica,Thor y Odín están presentes,Media
¿Quién fue el primer Pokémon creado por diseño?,Mew,Pikachu,Rhydon,Bulbasaur,Rhydon,De los primeros diseñados aunque no numerado así,Media
¿Qué país es famoso por inventar el sudoku?,Japón,China,Corea del Sur,Tailandia,Japón,Aunque los números son universales este juego es japonés,Media
¿De qué país es originario el plato "pho"?,Tailandia,Vietnam,Malasia,Camboya,Vietnam,Es una sopa tradicional muy popular,Media
¿Qué parte del ojo controla la cantidad de luz que entra?,Iris,Retina,Córnea,Lente,Iris,Se adapta a la luz,Media
¿En qué ciudad se encuentra el Muro de las Lamentaciones?,Tel Aviv,Jerusalén,Haifa,Belén,Jerusalén,Es un sitio sagrado judío,Media
¿Cuál es el planeta más caliente del sistema solar?,Marte,Venus,Júpiter,Saturno,Venus,Su atmósfera está llena de CO₂,Media
¿Cuál es el idioma más hablado en África?,Árabe,Suajili,Hausa,Francés,Suajili,Se habla en muchos países del este,Media
¿Qué banda compuso el álbum "The Dark Side of the Moon"?,Led Zeppelin,Pink Floyd,The Beatles,Queen,Pink Floyd,Portada con un prisma,Media
¿Qué nombre recibe el proceso de convertir agua en vapor?,Sublimación,Evaporación,Condensación,Fusión,Evaporación,Ocurre al calentar el agua,Media
¿Qué deporte es originario de Canadá?,Béisbol,Hockey sobre hielo,Cricket,Waterpolo,Hockey sobre hielo,Se juega en pistas congeladas,Media
¿Qué mineral es el principal componente del lápiz?,Grafeno,Carbón,Grafito,Plomo,Grafito,Aunque se le llama "plomo" no contiene este elemento,Media
¿En qué videojuego puedes formar parte de la Hermandad Oscura?,Dragon Age,The Elder Scrolls V: Skyrim,Witcher 3,Divinity II,The Elder Scrolls V: Skyrim,Secta secreta de asesinos,Media

¿Qué instrumento mide la presión atmosférica?,Termómetro,Barómetro,Higrómetro,Anemómetro,Barómetro,Empieza por 'B'.,Dificil
¿Cuál es la única letra del alfabeto que no aparece en el nombre de ningún estado de EE. UU.?,X,Q,Z,J,J,Piensa en las letras menos comunes.,Dificil
¿Quién es el autor de Cien años de soledad?,Julio Cortázar,Mario Vargas Llosa,Gabriel García Márquez,Jorge Luis Borges,Gabriel García Márquez,Ganador del Premio Nobel colombiano.,Dificil
¿Cuál es la capital de Canadá?,Toronto,Vancouver,Ottawa,Montreal,Ottawa,No es su ciudad más poblada.,Dificil
¿Qué año se consideró el inicio de la Primera Guerra Mundial?,1905,1914,1918,1939,1914,Estalló en la segunda década del siglo XX.,Dificil
¿Qué ciudad griega era rival histórica de Atenas?,Esparta,Corinto,Tebas,Delphi,Esparta,Tenían sistemas políticos opuestos,Dificil
¿En qué año cayó el Muro de Berlín?,1987,1989,1991,1990,1989,Poco antes del fin de la Guerra Fría.,Dificil
¿Qué país inventó el papel?,Japón,Corea,China,India,China,Tienen una historia milenaria.,Dificil
¿Qué país construyó la primera autopista del mundo?,Italia,Francia,Alemania,Reino Unido,Alemania,Se llamaban "Autobahn",Dificil
¿Cuál es el metal más abundante en la corteza terrestre?,Hierro,Cobre,Aluminio,Oro,Aluminio,Se usa mucho en la industria y es ligero.,Dificil
¿Cuál es la capital de Nueva Zelanda?,Auckland,Wellington,Christchurch,Queenstown,Wellington,No es la ciudad más grande del país.,Dificil
¿Qué es el efecto Doppler?,Cambio en el color de la luz,Cambio en la frecuencia de una onda,Cambio en la velocidad del sonido,Cambio en la dirección de la gravedad,Cambio en la frecuencia de una onda,Se percibe en el sonido de una sirena acercándose o alejándose.,Dificil
¿Qué es un quasar?,Un tipo de estrella,Un agujero negro,Un objeto astronómico muy luminoso,Una galaxia enana,Un objeto astronómico muy luminoso,Son núcleos de galaxias activas muy distantes.,Dificil
¿Cuál es el segundo elemento más abundante en la corteza terrestre?,Oxígeno,Silicio,Aluminio,Hierro,Silicio,Es un componente principal de la arena y el vidrio.,Dificil
¿Qué enfermedad se eliminó globalmente gracias a una vacuna en 1980?,Sarampión,Polio,Viruela,Tétanos,Viruela,Fue un gran éxito de salud pública.,Dificil
¿Qué planeta del sistema solar tiene el día más largo?,Venus,Marte,Saturno,Neptuno,Venus,Su rotación tarda más que su órbita.,Dificil
¿Cuál es el metal más ligero?,Aluminio,Hidrógeno,Litio,Magnesio,Litio,Usado en baterías,Dificil
¿Qué país tiene la mayor cantidad de islas en el mundo?,Suecia,Canadá,Indonesia,Filipinas,Suecia,Más de 200,000 islas,Dificil
¿Qué escritor es conocido por la novela "1984"?,George Orwell,Aldous Huxley,Ray Bradbury,Isaac Asimov,George Orwell,Dystopía famosa,Dificil
¿En qué año cayó el Imperio Romano de Occidente?,476,410,395,1453,476,Marcó el fin de la antigüedad,Dificil
¿Qué emperador romano legalizó el cristianismo?,Nerón,Trajano,Constantino,Juliano,Constantino,Emitió el Edicto de Milán,Dificil
¿Qué símbolo químico representa al oro?,Au,Ag,Fe,Cu,Au,Metal precioso,Dificil
¿Qué país tiene la mayor producción de cacao?,Colombia,Ghana,Brasil,Costa de Marfil,Costa de Marfil,Está en África Occidental,Dificil
¿En qué país nació Nikola Tesla?,Austria,Serbia,Estados Unidos,Croacia,Croacia,Nació en los Balcanes,Dificil
¿Cuál fue el primer animal clonado exitosamente?,Gato,Vaca,Oveja,Ratón,Oveja,Se llamaba Dolly,Dificil
¿Qué animal tiene huellas digitales similares a las humanas?,Mono,Koala,Gato,Mapache,Koala,Pueden confundirse en escenas del crimen,Dificil
¿Cuál es el océano más profundo?,Atlántico,Índico,Pacífico,Ártico,Pacífico,Contiene la Fosa de las Marianas,Dificil
¿En qué parte del cuerpo se encuentra el hueso escafoides?,Mano,Pie,Cadera,Cabeza,Mano,Se encuentra en el carpo,Dificil
En la mitología japonesa, ¿cómo se llama la diosa del sol?,Amaterasu,Tsukuyomi,Susanoo,Izanami,Amaterasu,Es una de las principales deidades sintoístas,Dificil
¿Qué videojuego es reconocido por ser el primero en implementar un mundo abierto 3D con libertad total?,Ultima Underworld,The Legend of Zelda,Grand Theft Auto III,Daggerfall,Ultima Underworld,Lanzado a principios de los 90,Dificil
¿Qué instrumento musical se utiliza en la música tradicional de Mongolia para producir armónicos con la garganta?,Didgeridoo,Trompa alpina,Morin Khuur,Khöömei,Khöömei,Es una técnica vocal no un instrumento en sí.,Dificil
¿Cuál es el nombre del continente ficticio donde se desarrolla la saga "The Witcher"?,Continent of the North,Continent of the South,The Northlands,The Continent,The Continent,Lugar de monstruos y magia,Dificil
¿Cuál es el nombre del dios egipcio del caos y el desorden?,Set,Osiris,Horus,Ra,Set,Es el hermano de Osiris,Dificil
¿Qué videojuego introdujo por primera vez el concepto de "respawn"?,"Quake","Doom","Counter-Strike","Halo","Quake",Popularizó el término en los 90,Dificil
¿Qué instrumento musical es el más antiguo conocido?,Flauta,Tambor,Lira,Arpa,Flauta,Hechas de hueso,Dificil
¿En qué año se lanzó el videojuego "The Legend of Zelda: Ocarina of Time"?,1996,1997,1998,1999,1998,Salió para Nintendo 64,Dificil
¿Cuál es el nombre científico del ser humano moderno?,Homo erectus,Homo sapiens sapiens,Homo habilis,Homo neanderthalensis,Homo sapiens sapiens,Subespecie del Homo sapiens,Dificil
¿Qué océano es el menos profundo del mundo?,Atlántico,Ártico,Índico,Pacífico,Ártico,Casi cubierto de hielo,Dificil
¿Qué película ganó el Oscar a Mejor Película en 1994?,Forrest Gump,Pulp Fiction,The Shawshank Redemption,Quiz Show,Forrest Gump,Con Tom Hanks,Dificil
¿Qué ciudad fue la capital del Imperio Otomano?,Estambul,Ankara,Bagdad,Damasco,Estambul,Antes conocida como Constantinopla,Dificil
¿En qué planeta se desarrolla la historia de Dune?,Arrakis,Tatooine,Caladan,Geidi Prime,Arrakis,Es un planeta desértico y rico en especia,Dificil
¿Qué color simboliza el luto en la cultura china?,Rojo,Blanco,Negro,Amarillo,Blanco,Es el opuesto al significado occidental,Dificil
¿Qué significa la sigla "HTTP" en informática?,HyperText Transfer Protocol,Hyper Transfer Text Protocol,HighText Transfer Protocol,HyperText Transmission Process,HyperText Transfer Protocol,Base de la web,Dificil
¿Cuál es el animal más longevo conocido?,Tortuga de las Galápagos,Ballena de Groenlandia,Almeja de Islandia,Elefante Africano,Almeja de Islandia,Pueden vivir más de 500 años,Dificil
¿En qué año se lanzó el primer iPhone al mercado?,2007,2005,2009,2010,2007,Revolución tecnológica,Dificil
¿Cuál fue el primer elemento químico creado artificialmente?,Neptunio,Tecnecio,Prometio,Curio,Tecnecio,No existe de forma natural en la Tierra,Dificil
¿En qué año se fundó la Universidad de Salamanca?,1134,1218,1273,1345,1218,Es una de las más antiguas de Europa,Dificil
¿Qué animal puede dormir mientras vuela?,Colibrí,Murciélago,Albatros,Cuervo,Albatros,Surca los océanos durante semanas,Dificil
¿Quién fue el primer emperador romano?,Julio César,Octavio Augusto,Nerón,Trajano,Octavio Augusto,Adoptó el título de "Princeps",Dificil
¿Qué videojuego tiene una ciudad llamada Rapture?,BioShock,Dead Space,Half-Life,Dishonored,BioShock,Es una ciudad submarina,Dificil
¿Qué metal fue esencial en la alquimia medieval?,Mercurio,Plomo,Azufre,Oro,Oro,Se buscaba su transmutación desde otros elementos,Dificil
¿Qué escritor español escribió *Luces de bohemia*?,Ramón María del Valle-Inclán,Federico García Lorca,Benito Pérez Galdós,Pío Baroja,Ramón María del Valle-Inclán,Obra clave del esperpento,Dificil
En la historia del cine ¿qué película es considerada la primera película de terror?,Le Manoir du Diable,Nosferatu,El gabinete del doctor Caligari,La novia de Frankenstein,Le Manoir du Diable,Pionera en el género,Dificil